TABLE:  Element Forces - Columns,,,,,,,,,,,,,,
Story,Column,Unique Name,Output Case,Case Type,Station,P,V2,V3,T,M2,M3,Element,Elem Station,Location
,,,,,m,kN,kN,kN,kN-m,kN-m,kN-m,,m,
Roof,C76,297,Gk,LinStatic,0,-125.587,33.623,-21.2238,0.8573,-32.9863,-26.461,297,0,
Roof,C76,297,Gk,LinStatic,1.6125,-115.8314,33.623,-21.2238,0.8573,1.2371,-80.6782,297,1.6125,
Roof,C76,297,Gk,LinStatic,3.225,-106.0757,33.623,-21.2238,0.8573,35.4606,-134.8953,297,3.225,
Roof,C76,297,Qk,LinStatic,0,-5.2976,1.6947,-1.6123,0.0543,-2.7068,-3.2413,297,0,
Roof,C76,297,Qk,LinStatic,1.6125,-5.2976,1.6947,-1.6123,0.0543,-0.1071,-5.974,297,1.6125,
Roof,C76,297,Qk,LinStatic,3.225,-5.2976,1.6947,-1.6123,0.0543,2.4927,-8.7067,297,3.225,
Roof,C76,297,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-5.3176,1.5955,-1.6116,0.0569,-2.7097,-3.6481,297,0,
Roof,C76,297,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-5.3176,1.5955,-1.6116,0.0569,-0.111,-6.2208,297,1.6125,
Roof,C76,297,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-5.3176,1.5955,-1.6116,0.0569,2.4877,-8.7934,297,3.225,
Roof,C76,297,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0201,0.0992,-0.0007,-0.0026,0.0029,0.4068,297,0,
Roof,C76,297,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0201,0.0992,-0.0007,-0.0026,0.004,0.2468,297,1.6125,
Roof,C76,297,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0201,0.0992,-0.0007,-0.0026,0.005,0.0867,297,3.225,
Roof,C77,298,Gk,LinStatic,0,-181.9932,-89.1621,-47.377,0.8573,-69.391,-168.4619,298,0,
Roof,C77,298,Gk,LinStatic,1.6125,-172.2376,-89.1621,-47.377,0.8573,7.0044,-24.688,298,1.6125,
Roof,C77,298,Gk,LinStatic,3.225,-162.4819,-89.1621,-47.377,0.8573,83.3997,119.086,298,3.225,
Roof,C77,298,Qk,LinStatic,0,-12.4155,-8.5614,-4.8999,0.0543,-7.4227,-19.4729,298,0,
Roof,C77,298,Qk,LinStatic,1.6125,-12.4155,-8.5614,-4.8999,0.0543,0.4783,-5.6676,298,1.6125,
Roof,C77,298,Qk,LinStatic,3.225,-12.4155,-8.5614,-4.8999,0.0543,8.3794,8.1377,298,3.225,
Roof,C77,298,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-12.3714,-8.6549,-4.8802,0.0569,-7.3928,-19.867,298,0,
Roof,C77,298,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-12.3714,-8.6549,-4.8802,0.0569,0.4766,-5.911,298,1.6125,
Roof,C77,298,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-12.3714,-8.6549,-4.8802,0.0569,8.346,8.0451,298,3.225,
Roof,C77,298,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0441,0.0935,-0.0196,-0.0026,-0.0299,0.3941,298,0,
Roof,C77,298,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0441,0.0935,-0.0196,-0.0026,0.0017,0.2433,298,1.6125,
Roof,C77,298,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.0441,0.0935,-0.0196,-0.0026,0.0334,0.0926,298,3.225,
Roof,C80,299,Gk,LinStatic,0,-131.4669,-37.4199,-23.3558,-0.8755,-36.2261,23.844,299,0,
Roof,C80,299,Gk,LinStatic,1.6125,-121.7113,-37.4199,-23.3558,-0.8755,1.4351,84.1835,299,1.6125,
Roof,C80,299,Gk,LinStatic,3.225,-111.9557,-37.4199,-23.3558,-0.8755,39.0964,144.5231,299,3.225,
Roof,C80,299,Qk,LinStatic,0,-5.9762,-1.609,-1.8721,-0.062,-3.095,4.8471,299,0,
Roof,C80,299,Qk,LinStatic,1.6125,-5.9762,-1.609,-1.8721,-0.062,-0.0762,7.4416,299,1.6125,
Roof,C80,299,Qk,LinStatic,3.225,-5.9762,-1.609,-1.8721,-0.062,2.9427,10.036,299,3.225,
Roof,C80,299,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-5.9785,-1.6695,-1.8798,-0.0596,-3.102,4.5716,299,0,
Roof,C80,299,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-5.9785,-1.6695,-1.8798,-0.0596,-0.0708,7.2637,299,1.6125,
Roof,C80,299,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-5.9785,-1.6695,-1.8798,-0.0596,2.9605,9.9557,299,3.225,
Roof,C80,299,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0023,0.0605,0.0077,-0.0024,0.0071,0.2755,299,0,
Roof,C80,299,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0023,0.0605,0.0077,-0.0024,-0.0054,0.1779,299,1.6125,
Roof,C80,299,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0023,0.0605,0.0077,-0.0024,-0.0178,0.0803,299,3.225,
Roof,C82,300,Gk,LinStatic,0,-179.1264,89.3587,-46.4304,-0.8755,-67.6158,178.8838,300,0,
Roof,C82,300,Gk,LinStatic,1.6125,-169.3708,89.3587,-46.4304,-0.8755,7.2532,34.7929,300,1.6125,
Roof,C82,300,Gk,LinStatic,3.225,-159.6151,89.3587,-46.4304,-0.8755,82.1222,-109.2979,300,3.225,
Roof,C82,300,Qk,LinStatic,0,-12.6473,8.9739,-5.099,-0.062,-7.6601,22.1173,300,0,
Roof,C82,300,Qk,LinStatic,1.6125,-12.6473,8.9739,-5.099,-0.062,0.562,7.6468,300,1.6125,
Roof,C82,300,Qk,LinStatic,3.225,-12.6473,8.9739,-5.099,-0.062,8.7841,-6.8236,300,3.225,
Roof,C82,300,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-12.6871,8.9268,-5.1148,-0.0596,-7.6841,21.8781,300,0,
Roof,C82,300,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-12.6871,8.9268,-5.1148,-0.0596,0.5635,7.4836,300,1.6125,
Roof,C82,300,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-12.6871,8.9268,-5.1148,-0.0596,8.811,-6.9109,300,3.225,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0398,0.0471,0.0158,-0.0024,0.0241,0.2391,300,0,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0398,0.0471,0.0158,-0.0024,-0.0015,0.1632,300,1.6125,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0398,0.0471,0.0158,-0.0024,-0.027,0.0872,300,3.225,
Roof,C123,301,Gk,LinStatic,0,-46.1514,-10.0118,9.4628,0.8573,8.0479,-4.9257,301,0,
